49293
4624	4669	1	0	0
7018	7191	1	0	0
7867	8016	1	0	0
23397	24805	1	1	1
33878	34006	1	2	2
33989	34199	1	2	3
34454	34590	1	2	4
35124	35259	1	2	2
35124	35259	1	2	3
35124	35259	1	2	4
36990	37066	1	2	2
36990	37066	1	2	3
36990	37066	1	2	4
37183	37238	1	2	2
37183	37238	1	2	3
37183	37238	1	2	4
38040	39010	1	3	5
41892	42391	1	3	5
44189	44231	1	4	6
50642	50806	1	4	6
63228	63326	2	5	7
63424	63918	2	5	7
64035	64145	2	5	7
67060	67076	1	4	6
75885	76018	1	6	8
75885	76018	1	6	9
75885	76018	1	6	10
76790	76808	1	6	11
78752	78823	1	6	8
78752	78823	1	6	9
78752	78823	1	6	10
78752	78823	1	6	11
79382	79456	1	6	8
79382	79456	1	6	9
79382	79456	1	6	11
79888	80042	1	6	8
79888	80042	1	6	9
79888	80042	1	6	11
80286	80378	1	6	8
80286	80378	1	6	9
80286	80378	1	6	11
80286	80378	1	6	12
81972	82139	1	6	12
82038	82139	1	6	8
82038	82139	1	6	9
82038	82139	1	6	11
82252	82477	1	6	8
82252	82477	1	6	9
82252	82477	1	6	11
82252	82477	1	6	12
82564	82770	1	6	8
82564	82770	1	6	9
82564	82770	1	6	11
82564	82770	1	6	12
84193	84280	1	6	8
84193	84280	1	6	9
84193	84280	1	6	10
84193	84280	1	6	11
84193	84280	1	6	12
84447	84640	1	6	9
84447	84652	1	6	8
84447	84652	1	6	10
84447	84652	1	6	11
84447	84652	1	6	12
87298	87558	1	6	8
87298	87558	1	6	9
87298	87558	1	6	10
87298	87558	1	6	11
87298	87558	1	6	12
88634	88738	1	6	8
88634	88738	1	6	9
88634	88738	1	6	10
88634	88738	1	6	11
88634	88738	1	6	12
89323	89424	1	6	8
89323	89424	1	6	9
89323	89424	1	6	10
89323	89424	1	6	11
89323	89424	1	6	12
89521	89648	1	6	8
89521	89648	1	6	9
89521	89648	1	6	10
89521	89648	1	6	11
89521	89648	1	6	12
90457	90583	1	6	8
90457	90583	1	6	9
90457	90583	1	6	10
90457	90583	1	6	11
90457	90583	1	6	12
90691	90825	1	6	8
90691	90825	1	6	9
90691	90825	1	6	10
90691	90825	1	6	11
90691	90825	1	6	12
94312	94362	1	6	8
94312	94362	1	6	9
94312	94362	1	6	10
94312	94362	1	6	11
94312	94362	1	6	12
94538	94621	1	6	8
94538	94621	1	6	9
94538	94621	1	6	10
94538	94621	1	6	11
94538	94621	1	6	12
94901	95039	1	6	8
94901	95039	1	6	9
94901	95039	1	6	10
94901	95039	1	6	11
94901	95039	1	6	12
96498	96686	1	6	8
96498	96686	1	6	9
96498	96686	1	6	10
96498	96686	1	6	11
96498	96686	1	6	12
97062	97183	1	6	8
97062	97183	1	6	9
97062	97183	1	6	10
97062	97183	1	6	11
97062	97183	1	6	12
97278	97370	1	6	8
97278	97370	1	6	9
97278	97370	1	6	10
97278	97370	1	6	11
97278	97370	1	6	12
97682	97770	1	6	8
97682	97770	1	6	9
97682	97770	1	6	10
97682	97770	1	6	11
97682	97770	1	6	12
100458	100499	1	6	8
100458	100499	1	6	9
100458	100499	1	6	10
100458	100499	1	6	11
100458	100499	1	6	12
100598	100706	1	6	8
100598	100706	1	6	9
100598	100706	1	6	10
100598	100706	1	6	11
100598	100706	1	6	12
100794	100910	1	6	8
100794	100910	1	6	9
100794	100910	1	6	10
100794	100910	1	6	11
100794	100910	1	6	12
101185	101423	1	6	8
101185	101423	1	6	9
101185	101423	1	6	10
101185	101423	1	6	11
101185	101423	1	6	12
101500	101589	1	6	8
101500	101589	1	6	9
101500	101589	1	6	10
101500	101589	1	6	11
101500	101589	1	6	12
102014	102161	1	6	8
102014	102161	1	6	9
102014	102161	1	6	10
102014	102161	1	6	11
102014	102161	1	6	12
102747	102866	1	6	8
102747	102866	1	6	9
102747	102866	1	6	10
102747	102866	1	6	11
102747	102866	1	6	12
102963	103085	1	6	8
102963	103085	1	6	9
102963	103085	1	6	10
102963	103085	1	6	11
102963	103085	1	6	12
103189	103266	1	6	8
103189	103266	1	6	9
103189	103266	1	6	10
103189	103266	1	6	11
103189	103266	1	6	12
103596	103667	1	6	8
103596	103667	1	6	9
103596	103667	1	6	10
103596	103667	1	6	11
103596	103667	1	6	12
103782	103884	1	6	8
103782	103884	1	6	9
103782	103884	1	6	10
103782	103884	1	6	11
103782	103884	1	6	12
